menu_start_game_0|Welcome, adventurer, to Mount and Blade: Warband. Before beginning the game you must create your character. Remember that in the traditional medieval society depicted in the game, war and politics are usually dominated by male members of the nobility. That does not however mean that you should not choose to play a female character, or one who is not of noble birth. Male nobles may have a somewhat easier start, but women and commoners can attain all of the same goals -- and in fact may have a much more interesting if more challenging early game.
mno_continue|Continue...
mno_go_back|Go back
menu_start_phase_2|You arrive in France, a land torn between the rival kingdoms of England and France, battling each other for supremacy and the French throne. France is a haven for knights and mercenaries, cut-throats and adventurers, all willing to risk their lives in pursuit of fortune, power, or glory... In this land which holds great dangers and even greater opportunities, you will leave your past behind and start a new life. You feel that finally, you hold the key of your destiny in your hands, free to choose as you will, and that whatever course you take, great adventures will await you. Drawn by the tales you hear about France and its wars, you...
mno_town_1|join a pilgrimage to Dijon, in the land of France.
mno_cheat_quick_start|Cheat Quick Start
menu_start_game_3|Choose your scenario:
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
mno_go_back_dot|Go back.
menu_reports|Character Renown: {reg5}^Honor Rating: {reg6}^Party Morale: {reg8}^Party Size Limit: {reg7}^
mno_view_character_report|View character report.
mno_view_party_size_report|View party size report.
mno_view_npc_mission_report|View companion mission report.
mno_view_weekly_budget_report|View weekly budget report.
mno_view_morale_report|View party morale report.
mno_lord_relations|View list of known lords by relation.
mno_courtship_relations|View courtship relations.
mno_view_faction_relations_report|View faction relations report.
mno_view_hungry_report|Health report.
mno_view_document|Read documents.
mno_resume_travelling|Resume travelling.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.
menu_start_game_1|Select your character's gender.
mno_start_male|Male
mno_start_female|Female
menu_start_choix_classes|Who are you?
mno_start_noble2|Ousted noble knight
mno_start_merchant2|Mercenary
mno_start_guard2|Merchant
mno_start_forester2|Hunter
mno_start_nomad2|French rebel
mno_start_thief2|Bandit highwayman
mno_start_thief22|Soldier
mno_start_thief33|Physician
menu_classe_chevalier|You are the heir of a line of French knights. Stripped of wealth and titles by crafty fellow nobles, who were eager to commit felony to grab your lands and power. You grew up in a period of decline of the spirit of chivalry. Educated in the rules and customs of the past glory, you know your way with weapons as well as diplomacy, have a sense of strategy and an awareness of the most deceitful tactics to kneel your rivals. Are you in a position to restore your family's past glory?
mno_continu|Accept
mno_retour|Review your choice
menu_classe_mercenaire|You had a mercenary father who your mother described as being arrogant, extravagant and selfish. You supported your family by helping with small jobs and growing up you realized that a life of a mercenary could offer you much more despite the risks involved.
menu_classe_marchant|You are an experienced merchant despite your young age. When you were a child, you were already exchanging arrows made by your comrades for baskets of apples. You sold the apples on the market and bought goods of even greater value. You are ambitious and determined to get rich. When you transported your goods from one town to another, you were often robbed by bandits, prompting you to quickly acquire fighting skills. You think the war between the French and the Anglo-Burgundians could be a good way to finally get rich. 
menu_classe_chasseur|You are a mountaineer and a hunter, more at home with the wolves and bears than among the residents of large cities. You are an outstanding archer and you often win the archery contests in the villages where you sell your furs. Your hermit life means loneliness, which is quickly becoming unbearable. You want to try something else, go on an adventure by utilizing your archery skills.
menu_classe_rebel|You were a quiet child, working in the fields with your father. When the Anglo-Burgundian alliance seized your land the pace of work imposed quickly became impossible to follow. Lean harvest shares meant you were far from being able to support yourself. Later your father was convicted of treason against the crown, simply because he made a request from your lord for a larger share of the harvest. You have decided to join the rebels and rumours in the taverns point you towards hidden rebel camps in the forests near large cities.
menu_classe_bandit|You are a highwayman with a black heart, willing to spend time only on figuring out the right time to sell the property taken from others. One day you were arrested trying to steal tax money chests the British soldiers were escorting in a convoy. You said on that day that you'd prepare your plans more carefully in the future. Since then you have sworn to pay back your ill-treatment in detention to the English.
menu_classe_anglais|You are a French soldier, a true patriot, very talented in martial arts. Having been trained in melee weapons and shield you are a complete and versatile soldier. You have started a career in the personal bodyguard of the Duke of Provence. But your country is at war and needs you, With the agreement of your lord, you have decided to leave to join an elite unit with a letter of recommendation signed by the Duke of Provence himself.
menu_classe_bourgignon|You're a surgeon who traverses the roads between the big cities. Your taste for adventure has led you to many difficult and varied situations. The Great Plague and caring for war wounds - been there, done that. You dedicated your life to saving the innocent and fighting injustice so you decide to move to where you're most needed, the battlefields in the center of France. Luckily you're adept with polearms and light weapons, so if need be you can inflict wounds instead of only tending them.
menu_start_character_1|You were born years ago, in a land far away. Your father was...
mno_start_noble|An impoverished noble.
mno_start_merchant|A travelling merchant.
mno_start_guard|A veteran warrior.
mno_start_forester|A hunter.
mno_start_nomad|A steppe nomad.
mno_start_thief|A thief.
menu_start_character_2|{s10}^^ You started to learn about the world almost as soon as you could walk and talk. You spent your early life as...
mno_page|A page at a nobleman's court.
mno_apprentice|A craftsman's apprentice.
mno_stockboy|A shop assistant.
mno_urchin|A street urchin.
mno_nomad|A steppe child.
menu_start_character_3|{s11}^^ Then, as a young adult, life changed as it always does. You became...
mno_squire|A squire.
mno_lady|A lady-in-waiting.
mno_troubadour|A troubadour.
mno_student|A university student.
mno_peddler|A goods peddler.
mno_craftsman|A smith.
mno_poacher|A game poacher.
