dlga_event_triggered:freelancer_sarge_1|{playername}, I've been watching you and I am quite impressed with your progress.^ I've spoken to the men and they agree with my decision.
dlga_freelancer_sarge_1:freelancer_sarge_2|Thank you, my {reg3?Lady:Lord}, I try my best to bring honour to your house.^ What decision is that?
dlga_freelancer_sarge_2:freelancer_sarge_3|You will now be one of my {s5}, commanding a group of 7 men. Your new salary should cover theirs, so will the improved rations I will be giving you.^ Also, as a symbol of your new authority, I will reward you a choice of a two things.^ {s6}, both made by my personal blacksmith.
dlga_freelancer_sarge_3:freelancer_sarge_finish|I choose the shield. I will not let you nor the men down. You can count on me.
dlga_freelancer_sarge_3:freelancer_sarge_finish.1|I choose the weapon. I will not let you nor the men down. You can count on me.
dlga_freelancer_sarge_finish:close_window|Good to hear it, {playername}. I'll have someone deliver it to you. Now go and meet your men.
dlga_event_triggered:freelancer_cap_1|{playername}, You have once again truly proved your worth. You are an example to all of our men.
dlga_freelancer_cap_1:freelancer_cap_2|Thank you, my {reg3?Lady:Lord}. A soldier is only as good as their commander.
dlga_freelancer_cap_2:freelancer_cap_3|From now on, you will be my {s5}, commanding a group of 15 men. You will also be given a considerable wage increase, as befit your station.^ I have also something to give you, choose between {s6}, straight from our family's treasures...^
dlga_freelancer_cap_3:freelancer_cap_finish|The armour will help me defend you from your enemies. I will continue bringing honour to your house.
dlga_freelancer_cap_3:freelancer_cap_finish.1|The weapon will help me destroy your enemies. I will continue bringing honour to your house.
dlga_freelancer_cap_finish:close_window|I know you will, {playername}. Now go and meet your men.
dlga_event_triggered:close_window|{playername}, I am here to tell you that your leave is over. Join me and return to your post.
dlga_event_triggered:freelancer_pacify_duel_win|Ha! Good fight, good fight! Exactly what the men were looking for. We should do this more, eh?
dlga_event_triggered:freelancer_pacify_duel_lose|Alright, we've entertained the men, now for the good stuff. Pay up!
dlga_event_triggered:freelancer_pacify_start|...blood and guts everywhere, then the rats eat the blood and guts! At least they are feasting, eh! Unlike us, covered with blood, guts, and shit!{s5}
