itm_no_item|INVALID ITEM
itm_no_item_pl|OBJETS INVALIDES
itm_tutorial_spear|Épieu
itm_tutorial_spear_pl|Épieux
itm_tutorial_club|Gourdin
itm_tutorial_club_pl|Gourdins
itm_tutorial_battle_axe|Hache de combat
itm_tutorial_battle_axe_pl|Haches de combat
itm_tutorial_arrows|Flèches 
itm_tutorial_arrows_pl|Flèches 
itm_tutorial_bolts|Carreaux 
itm_tutorial_bolts_pl|Carreaux 
itm_tutorial_short_bow|Arc court 
itm_tutorial_short_bow_pl|Arcs courts
itm_tutorial_crossbow|Arbalète 
itm_tutorial_crossbow_pl|Arbalètes
itm_tutorial_throwing_daggers|Dagues de jet 
itm_tutorial_throwing_daggers_pl|Dagues de jet 
itm_tutorial_saddle_horse|Cheval de selle
itm_tutorial_saddle_horse_pl|Chevaux de selle
itm_tutorial_shield|Grand écu
itm_tutorial_shield_pl|Grands écus
itm_tutorial_staff_no_attack|Bâton
itm_tutorial_staff_no_attack_pl|Bâtons
itm_tutorial_staff|Bâton
itm_tutorial_staff_pl|Bâtons
itm_tutorial_sword|Épée
itm_tutorial_sword_pl|Épées
itm_tutorial_axe|Hache 
itm_tutorial_axe_pl|Haches
itm_tutorial_dagger|Dague
itm_tutorial_dagger_pl|Dagues
itm_horse_meat|Viande de cheval
itm_horse_meat_pl|Viandes de cheval
itm_practice_sword|Épée d'entrainement
itm_practice_sword_pl|Épées d'entrainement
itm_heavy_practice_sword|Épée lourde d'entraînement 
itm_heavy_practice_sword_pl|Épées lourdes d'entraînement 
itm_practice_dagger|Dague d'entraînement
itm_practice_dagger_pl|Dagues d'entraînement
itm_practice_axe|Hache d'entraînement
itm_practice_axe_pl|Haches d'entraînement
itm_arena_axe|Hache 
itm_arena_axe_pl|Haches 
itm_arena_sword|Épée
itm_arena_sword_pl|Épées
itm_arena_sword_two_handed|Épée à deux mains
itm_arena_sword_two_handed_pl|Épées à deux mains
itm_arena_lance|Lance
itm_arena_lance_pl|Lances
itm_practice_staff|Bâton d'entraînement
itm_practice_staff_pl|Bâtons d'entraînement
itm_practice_lance|Lance d'entraînement
itm_practice_lance_pl|Lances d'entraînement
itm_practice_shield|Bouclier d'entraînement
itm_practice_shield_pl|Boucliers d'entraînement
itm_practice_bow|Arc d'entraînement 
itm_practice_bow_pl|Arcs d'entraînement 
itm_practice_crossbow|Arbalète d'entraînement
itm_practice_crossbow_pl|Arbalètes d'entraînement
itm_practice_javelin|Javelot d'entraînement
itm_practice_javelin_pl|Javelots d'entraînement
itm_practice_javelin_melee|Javeline d'entraînement
itm_practice_javelin_melee_pl|Javelines d'entraînement
itm_practice_throwing_daggers|Dagues de jet 
itm_practice_throwing_daggers_pl|Dagues de jet 
itm_practice_throwing_daggers_100_amount|Dagues de jet 
itm_practice_throwing_daggers_100_amount_pl|Dagues de jet 
itm_practice_horse|Cheval d'entraînement
itm_practice_horse_pl|Chevaux d'entraînement
itm_practice_arrows|Flèches d'entraînement
itm_practice_arrows_pl|Flèches d'entraînement
itm_practice_bolts|Carreaux d'entraînement
itm_practice_bolts_pl|Carreaux d'entraînement
itm_practice_arrows_10_amount|Flèches d'entraînement
itm_practice_arrows_10_amount_pl|Flèches d'entraînement
itm_practice_arrows_100_amount|Flèches d'entraînement
itm_practice_arrows_100_amount_pl|Flèches d'entraînement
itm_practice_bolts_9_amount|Carreaux d'entraînement
itm_practice_bolts_9_amount_pl|Carreaux d'entraînement
itm_practice_boots|Bottes d'entraînement
itm_practice_boots_pl|Bottes d'entraînement
itm_red_tourney_armor|Armure de tournoi
itm_red_tourney_armor_pl|Armures de tournoi
itm_blue_tourney_armor|Armure de tournoi
itm_blue_tourney_armor_pl|Armures de tournoi
itm_green_tourney_armor|Armure de tournoi
itm_green_tourney_armor_pl|Armures de tournoi
itm_gold_tourney_armor|Armure de tournoi
itm_gold_tourney_armor_pl|Armures de tournoi
itm_red_tourney_helmet|Heaume de tournoi des corbeaux
itm_red_tourney_helmet_pl|Heaumes de tournoi des corbeaux
itm_gold_tourney_helmet|Heaume de tournoi
itm_gold_tourney_helmet_pl|Heaumes de tournoi
itm_arena_shield_blue|Bouclier
itm_arena_shield_blue_pl|Boucliers
itm_arena_shield_green|Bouclier
itm_arena_shield_green_pl|Boucliers
itm_arena_shield_yellow|Bouclier
itm_arena_shield_yellow_pl|Boucliers
itm_arena_armor_white|Armure de joutes
itm_arena_armor_white_pl|Armures de joutes
itm_arena_armor_red|Armure de joutes
itm_arena_armor_red_pl|Armures de joutes
itm_arena_armor_blue|Armure de joutes
itm_arena_armor_blue_pl|Armures de joutes
itm_arena_armor_green|Armure de joutes
itm_arena_armor_green_pl|Armures de joutes
itm_arena_armor_yellow|Armure de joutes
itm_arena_armor_yellow_pl|Armures de joutes
itm_arena_tunic_white|Armure de joutes
itm_arena_tunic_white_pl|Armures de joutes
itm_arena_tunic_red|Armure de joutes
itm_arena_tunic_red_pl|Armures de joutes
itm_arena_tunic_blue|Armure de joutes
itm_arena_tunic_blue_pl|Armures de joutes
itm_arena_tunic_green|Armure de joutes
itm_arena_tunic_green_pl|Armures de joutes
itm_arena_tunic_yellow|Armure de joutes
itm_arena_tunic_yellow_pl|Armures de joutes
itm_arena_helmet_red|Heaume de tournois des corbeaux
itm_arena_helmet_red_pl|Heaume de tournois des corbeaux
itm_arena_helmet_blue|Heaume de tournoi des licornes
itm_arena_helmet_blue_pl|Heaumes de tournoi des licornes
itm_arena_helmet_green|Heaume de tournoi ces cygnes
itm_arena_helmet_green_pl|Heaumes de tournoi ces cygnes
itm_arena_helmet_yellow|Heaume de tournoi des pegasus
itm_arena_helmet_yellow_pl|Heaumes de tournoi des pegasus
itm_steppe_helmet_white|Heaume a tete de crapaud
itm_steppe_helmet_white_pl|Heaumes a tete de crapaud
itm_steppe_helmet_red|Heaume de tournois des corbeaux
itm_steppe_helmet_red_pl|Heaume de tournois des corbeaux
itm_steppe_helmet_blue|Heaume de tournoi des licornes
itm_steppe_helmet_blue_pl|Heaumes de tournoi des licornes
itm_steppe_helmet_green|Heaume de tournoi ces cygnes
itm_steppe_helmet_green_pl|Heaumes de tournoi ces cygnes
itm_steppe_helmet_yellow|Heaume de tournoi des pegasus
itm_steppe_helmet_yellow_pl|Heaumes de tournoi des pegasus
itm_tourney_helm_white|Heaume a tete de crapaud
itm_tourney_helm_white_pl|Heaumes a tete de crapaud
itm_tourney_helm_red|Heaume de tournois des corbeaux
itm_tourney_helm_red_pl|Heaume de tournois des corbeaux
itm_tourney_helm_blue|Heaume de tournoi des licornes
itm_tourney_helm_blue_pl|Heaumes de tournoi des licornes
itm_tourney_helm_green|Heaume de tournoi ces cygnes
itm_tourney_helm_green_pl|Heaumes de tournoi ces cygnes
itm_tourney_helm_yellow|Heaume de tournoi des pegasus
itm_tourney_helm_yellow_pl|Heaumes de tournoi des pegasus
itm_arena_turban_red|Heaumes de tournoi
itm_arena_turban_red_pl|Heaumes de tournoi
itm_arena_turban_blue|Heaumes de tournoi
itm_arena_turban_blue_pl|Heaumes de tournoi
itm_arena_turban_green|Heaumes de tournoi
itm_arena_turban_green_pl|Heaumes de tournoi
itm_arena_turban_yellow|Heaumes de tournoi
itm_arena_turban_yellow_pl|Heaumes de tournoi
itm_book_tactics|De Re Militari
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|La Rhéthorique à Herennius
itm_book_persuasion_pl|La Rhéthorique à Herennius
itm_book_leadership|La Vie d'Alixenus le Grand
itm_book_leadership_pl|La Vie d'Alixenus le Grand
itm_book_intelligence|Essais sur la Logique 
itm_book_intelligence_pl|Essais sur la Logique 
itm_book_trade|Un Traité sur la Valeur des Choses
itm_book_trade_pl|Un Traité sur la Valeur des Choses
itm_book_weapon_mastery|Sur l'Art de Combattre avec des Épées
itm_book_weapon_mastery_pl|Sur l'Art de Combattre avec des Épées
itm_book_engineering|Méthode des Théorèmes Mécaniques
itm_book_engineering_pl|Méthode des Théorèmes Mécaniques
itm_book_wound_treatment_reference|Le Livre de la Guérison
itm_book_wound_treatment_reference_pl|Le Livre de la Guérison
itm_book_training_reference|Manuel d'Armes
itm_book_training_reference_pl|Manuel d'Armes
itm_book_surgery_reference|Le Grand Livre de la Chirurgie 
itm_book_surgery_reference_pl|Le Grand Livre de la Chirurgie 
itm_spice|Épice
itm_spice_pl|Épices
itm_salt|Sel
itm_salt_pl|Sels
itm_oil|Huile
itm_oil_pl|Huiles
itm_pottery|Poterie
itm_pottery_pl|Poteries
itm_raw_flax|Botte de lin
itm_raw_flax_pl|Bottes de lin
itm_linen|Lin
itm_linen_pl|Lins
itm_wool|Laine
itm_wool_pl|Laines
itm_wool_cloth|Tissu de laine
itm_wool_cloth_pl|Tissus de laine
itm_raw_silk|Soie brute
itm_raw_silk_pl|Soie brute
itm_raw_dyes|Teinture
itm_raw_dyes_pl|Teintures
itm_velvet|Velours
itm_velvet_pl|Velours
itm_iron|Fer 
itm_iron_pl|Fers
itm_tools|Outils
itm_tools_pl|Outils
itm_raw_leather|Peau
itm_raw_leather_pl|Peaux
itm_leatherwork|Atelier de cuir
itm_leatherwork_pl|Ateliers de cuir
itm_raw_date_fruit|Datte
itm_raw_date_fruit_pl|Dattes
itm_furs|Fourrures 
itm_furs_pl|Fourrures 
itm_wine|Cargaisons de Vin
itm_wine_pl|Cargaisons de Vin
itm_ale|Cargaison de Cervoise 
itm_ale_pl|Cargaisons de Cervoise
itm_smoked_fish|Poisson fumé 
itm_smoked_fish_pl|Poissons fumés
itm_cheese|Fromage
itm_cheese_pl|Fromages
itm_honey|Miel 
itm_honey_pl|Miels
itm_sausages|Saucisses
itm_sausages_pl|Saussices
itm_cabbages|Chou
itm_cabbages_pl|Choux
itm_dried_meat|Jambon
itm_dried_meat_pl|Jambons
itm_apples|Fruit
itm_apples_pl|Fruits
itm_raw_grapes|Raisin
itm_raw_grapes_pl|Raisin
itm_raw_olives|Olive
itm_raw_olives_pl|Olives
itm_grain|Céréale
