qst_deliver_message|Deliver Message to {s13}
qst_deliver_message_to_enemy_lord|Porter un message à {s13}
qst_raise_troops|Former {reg1} {s14}
qst_escort_lady|Escorter {s13} jusqu'à {s14}
qst_deal_with_bandits_at_lords_village|Sauver le village de {s15} des bandits
qst_collect_taxes|Collecter les taxes de {s3}
qst_hunt_down_fugitive|Pourchasser {s4}
qst_kill_local_merchant|Assassiner un marchand à {s3}
qst_bring_back_runaway_serfs|Ramener les serfs en fuite
qst_follow_spy|Suivre un espion jusqu'à son lieu de rendez-vous
qst_capture_enemy_hero|Capturer un seigneur du {s13}
qst_lend_companion|Accorder l'aide de votre compagnon {s3} à {s9}
qst_collect_debt|Récupérer l'argent que doit {s3} à {s9}
qst_incriminate_loyal_commander|Faire accuser {s16}, le loyal Commandant de {s13}
qst_meet_spy_in_enemy_town|Rencontrer un espion à {s13}
qst_capture_prisoners|Amener {reg1} {s3} prisonniers
qst_lend_surgeon|Accorder à {s1} l'aide de {s3}, votre chirurgien 
qst_follow_army|Suivre l'armée de {s9}
qst_report_to_army|Rendre compte au Maréchal, {s13}
qst_deliver_cattle_to_army|Ramener {reg3} têtes de bétail à {s13}
qst_join_siege_with_army|Participer au siège de {s14}
qst_screen_army|Jalonner l'avance de l'armée de {s13}
qst_scout_waypoints|Partir en éclaireur les lieux assignés
qst_rescue_lord_by_replace|Délivrer {s13} du {s14}
qst_deliver_message_to_prisoner_lord|Porter un message à {s13} à {s14}
qst_duel_for_lady|Défier {s13} en duel
qst_duel_courtship_rival|Défier {s13} en duel (facultatif)
qst_duel_avenge_insult|Défier {s13} en duel
qst_move_cattle_herd|Mener le bétail à {s13}
qst_escort_merchant_caravan|Escorter la caravane du marchand jusqu'à {s8}
qst_deliver_wine|Apporter {reg5} unités de {s6} à {s4}
qst_troublesome_bandits|Pourchasser les bandits gêneurs
qst_kidnapped_girl|Payer la rançon d'une fille aux bandits
qst_persuade_lords_to_make_peace|S'assurer que les deux seigneurs ne puissent s'opposer à la paix
qst_deal_with_looters|S'occuper des pilleurs
qst_deal_with_night_bandits|S'occuper des bandits nocturnes
qst_deliver_grain|Apporter du blé à {s3}
qst_deliver_cattle|Amener {reg5} têtes de bétail à {s3}
